Amount,Amount_transformed,Amount_prob_0,Amount_prob_1,Amount_prob_2
122.7,-0.13370302365193548,0.0,1.0,0.0
0.76,-0.17166090089271305,1.0,0.0,0.0
13.5,-0.07116433812175964,1.0,0.0,0.0
159.72,-0.04865363085088198,0.0,1.0,0.0
23.77,0.00984819717319261,1.0,0.0,0.0
501.51,0.7365714357474995,0.0,1.0,0.0
94.45,-0.19860430259925482,0.0,1.0,0.0
214.2,0.07650819842522268,0.0,1.0,0.0
20.0,-0.019890581605967076,1.0,0.0,0.0
329.9,0.3423162683085801,0.0,1.0,0.0
779.72,-0.0877447976505444,0.0,0.0,1.0
53.78,0.2465751868714903,1.0,0.0,0.0
4.49,-0.14223765292288132,1.0,0.0,0.0
5.21,-0.13655809835497815,1.0,0.0,0.0
33.83,0.0892041957191731,1.0,0.0,0.0
56.24,0.2659803316451595,1.0,0.0,0.0
303.05,0.2806313359285616,0.0,1.0,0.0
27.66,0.040533568380336164,1.0,0.0,0.0
73.71,0.40378841261914344,1.0,0.0,0.0
9.66,-0.10145529581724325,1.0,0.0,0.0
17.99,-0.03574600477469679,1.0,0.0,0.0
45.85,0.18402120392222338,1.0,0.0,0.0
49.99,0.21667864268766665,1.0,0.0,0.0
20.0,-0.019890581605967076,1.0,0.0,0.0
12.31,-0.08055137969926628,1.0,0.0,0.0
24.99,0.019471886857695207,1.0,0.0,0.0
126.77,-0.12435264470271108,0.0,1.0,0.0
149.0,-0.0732816559947851,0.0,1.0,0.0
49.99,0.21667864268766665,1.0,0.0,0.0
300.0,0.2736242951926563,0.0,1.0,0.0
6.25,-0.401234136339204,0.0,1.0,0.0
67.0,0.35085811935437916,1.0,0.0,0.0
80.0,0.4534056323859643,1.0,0.0,0.0
383.69,0.46589289820508656,0.0,1.0,0.0
1.98,-0.16203721120821046,1.0,0.0,0.0
1.79,-0.16353598255251825,1.0,0.0,0.0
265.6,0.19459406525326572,0.0,1.0,0.0
12.16,-0.0817346202342461,1.0,0.0,0.0
27.48,0.03911367973836037,1.0,0.0,0.0
20.0,-0.019890581605967076,1.0,0.0,0.0
39.95,0.13748040954635013,1.0,0.0,0.0
36.01,0.1064006248275466,1.0,0.0,0.0
26.71,0.03303971165879726,1.0,0.0,0.0
6.79,-0.12409463138652398,1.0,0.0,0.0
19.6,-0.023045889699246605,1.0,0.0,0.0
15.0,-0.05933193277196136,1.0,0.0,0.0
94.48,-0.19853538088709838,0.0,1.0,0.0
134.83,-0.10583567803667941,0.0,1.0,0.0
64.0,0.3271933086547826,1.0,0.0,0.0
1.29,-0.1674801176691177,1.0,0.0,0.0
25.0,0.019550769560027208,1.0,0.0,0.0
19.99,-0.019969464308299077,1.0,0.0,0.0
10.0,-0.09877328393795563,1.0,0.0,0.0
8.32,-0.11202557792972971,1.0,0.0,0.0
47.0,0.19309271469040204,1.0,0.0,0.0
45.03,0.1775528223310003,1.0,0.0,0.0
7.57,-0.11794178060462886,1.0,0.0,0.0
3.99,-0.14618178803948076,1.0,0.0,0.0
46.9,0.19230388766708215,1.0,0.0,0.0
26.99,0.03524842732409292,1.0,0.0,0.0
1.0,-0.16976771603674534,1.0,0.0,0.0
5.38,-0.13521709241533436,1.0,0.0,0.0
1.0,-0.16976771603674534,1.0,0.0,0.0
98.0,-0.1904485666607421,0.0,1.0,0.0
49.99,0.21667864268766665,1.0,0.0,0.0
249.9,0.15852503589139263,0.0,1.0,0.0
23.2,0.00535188314026926,1.0,0.0,0.0
150.0,-0.07098426558957026,0.0,1.0,0.0
144.98,-0.08251716542374879,0.0,1.0,0.0
206.65,0.059162900865850646,0.0,1.0,0.0
91.0,0.5401766049511517,1.0,0.0,0.0
27.45,0.0388770316313644,1.0,0.0,0.0
3.85,-0.1472861458721286,1.0,0.0,0.0
16.99,-0.04363427500789564,1.0,0.0,0.0
1.98,-0.16203721120821046,1.0,0.0,0.0
166.47,-0.03314624561568179,0.0,1.0,0.0
28.0,0.04321558025962378,1.0,0.0,0.0
119.0,-0.1422033681512304,0.0,1.0,0.0
22.2,-0.002536387092929597,1.0,0.0,0.0
259.1,0.17966102761936922,0.0,1.0,0.0
0.89,-0.1706354257623972,1.0,0.0,0.0
199.0,0.04158786426595708,0.0,1.0,0.0
94.0,0.5638414156507482,1.0,0.0,0.0
42.81,0.16004086241329885,1.0,0.0,0.0
125.9,-0.126351374355248,0.0,1.0,0.0
20.3,-0.017524100536007413,1.0,0.0,0.0
156.28,-0.34967253867220704,0.0,0.0,1.0
44.83,0.17597516828436052,1.0,0.0,0.0
1.29,-0.1674801176691177,1.0,0.0,0.0
22.82,0.002354340451653702,1.0,0.0,0.0
77.51,0.4337638395052992,1.0,0.0,0.0
3.58,-0.1494159788350923,1.0,0.0,0.0
134.13,-0.10744385132032984,0.0,1.0,0.0
4.99,-0.1382935178062819,1.0,0.0,0.0
15.05,-0.058937519260301406,1.0,0.0,0.0
2.0,-0.1618794458035465,1.0,0.0,0.0
4.8,-0.1397922891505897,1.0,0.0,0.0
17.99,-0.03574600477469679,1.0,0.0,0.0
60.0,0.29564022772198717,1.0,0.0,0.0
4.49,-0.14223765292288132,1.0,0.0,0.0
18.91,-0.028488796160153828,1.0,0.0,0.0
85.6,0.49757994569187786,1.0,0.0,0.0
1.0,-0.16976771603674534,1.0,0.0,0.0
18.39,-0.03259069668141723,1.0,0.0,0.0
49.99,0.21667864268766665,1.0,0.0,0.0
108.01,-0.16745168870454152,0.0,1.0,0.0
171.75,-0.021016024276147408,0.0,1.0,0.0
1.0,-0.16976771603674534,1.0,0.0,0.0
9.36,-0.10382177688720291,1.0,0.0,0.0
1.0,-0.16976771603674534,1.0,0.0,0.0
101.57,0.6235556213160636,1.0,0.0,0.0
77.25,0.43171288924466744,1.0,0.0,0.0
21.98,-0.004271806544233336,1.0,0.0,0.0
6.99,-0.12251697733988419,1.0,0.0,0.0
4.49,-0.14223765292288132,1.0,0.0,0.0
33.94,0.09007190544482496,1.0,0.0,0.0
18.69,-0.030224215611457567,1.0,0.0,0.0
247.13,0.15216126446894748,0.0,1.0,0.0
77.72,0.4354203762542709,1.0,0.0,0.0
1.98,-0.16203721120821046,1.0,0.0,0.0
0.99,-0.16984659873907734,1.0,0.0,0.0
94.19,0.5653401869950561,1.0,0.0,0.0
0.23,-0.41506442657859743,0.0,1.0,0.0
54.8,0.2546212225093531,1.0,0.0,0.0
37.73,0.11996844962864862,1.0,0.0,0.0
24.51,0.01568551714575978,1.0,0.0,0.0
2.12,-0.16093285337556262,1.0,0.0,0.0
3.3,-0.15162469450038796,1.0,0.0,0.0
66.0,0.34296984912118034,1.0,0.0,0.0
44.45,0.17297762559574498,1.0,0.0,0.0
1.0,-0.16976771603674534,1.0,0.0,0.0
50.0,0.21675752538999862,1.0,0.0,0.0
10.62,-0.09388255639337235,1.0,0.0,0.0
131.69,-0.11304948390905405,0.0,1.0,0.0
25.54,0.023810435485954583,1.0,0.0,0.0
37.83,0.12075727665196852,1.0,0.0,0.0
45.0,0.17731617422400434,1.0,0.0,0.0
189.0,0.018613960213808643,0.0,1.0,0.0
10.0,-0.09877328393795563,1.0,0.0,0.0
17.99,-0.03574600477469679,1.0,0.0,0.0
184.5,0.008275703390341848,0.0,1.0,0.0
6.52,-0.12622446434948767,1.0,0.0,0.0
110.0,-0.162879881798164,0.0,1.0,0.0
1.39,-0.1666912906457978,1.0,0.0,0.0
0.99,-0.16984659873907734,1.0,0.0,0.0
24.99,0.019471886857695207,1.0,0.0,0.0
0.0,-0.1776559862699442,1.0,0.0,0.0
5.52,-0.13411273458268652,1.0,0.0,0.0
501.41,-0.20467202337192725,0.0,0.0,1.0
25.5,0.023494904676626634,1.0,0.0,0.0
39.49,0.13385180523907866,1.0,0.0,0.0
1.16,-0.16850559279943353,1.0,0.0,0.0
0.76,-0.17166090089271305,1.0,0.0,0.0
1.0,-0.16976771603674534,1.0,0.0,0.0
73.9,0.4052871839634513,1.0,0.0,0.0
89.99,0.5322094520156209,1.0,0.0,0.0
467.34,-0.21898595596625556,0.0,0.0,1.0
129.07,-0.11906864677071695,0.0,1.0,0.0
46.42,0.18851751795514674,1.0,0.0,0.0
421.99,-0.23803898922580324,0.0,0.0,1.0
1.98,-0.16203721120821046,1.0,0.0,0.0
88.25,0.5184838618098548,1.0,0.0,0.0
0.89,-0.1706354257623972,1.0,0.0,0.0
11.9,-0.08378557049487781,1.0,0.0,0.0
58.33,0.28246681643254506,1.0,0.0,0.0
25.0,0.019550769560027208,1.0,0.0,0.0
29.58,0.055679047228077955,1.0,0.0,0.0
369.05,0.43225910267274126,0.0,1.0,0.0
1.18,-0.16834782739476956,1.0,0.0,0.0
891.25,-0.040887359956225736,0.0,0.0,1.0
11.85,-0.08417998400653776,1.0,0.0,0.0
11.5,-0.08694087858815736,1.0,0.0,0.0
6.99,-0.12251697733988419,1.0,0.0,0.0
1.29,-0.1674801176691177,1.0,0.0,0.0
603.62,-0.16173022558894232,0.0,0.0,1.0
0.76,-0.17166090089271305,1.0,0.0,0.0
34.27,0.09267503462178063,1.0,0.0,0.0
1.0,-0.16976771603674534,1.0,0.0,0.0
1691.02,0.29512243960250506,0.0,0.0,1.0
30.19,0.06049089207032928,1.0,0.0,0.0
0.89,-0.1706354257623972,1.0,0.0,0.0
89.99,0.5322094520156209,1.0,0.0,0.0
1.79,-0.16353598255251825,1.0,0.0,0.0
9.19,-0.10516278282684671,1.0,0.0,0.0
101.45,-0.1825225697627509,0.0,1.0,0.0
0.76,-0.17166090089271305,1.0,0.0,0.0
1.0,-0.16976771603674534,1.0,0.0,0.0
267.06,0.19794825524487936,0.0,1.0,0.0
57.35,0.27473631160401024,1.0,0.0,0.0
156.19,-0.05676341898129038,0.0,1.0,0.0
1.0,-0.16976771603674534,1.0,0.0,0.0
37.0,0.11421001235841348,1.0,0.0,0.0
3.82,-0.14752279397912457,1.0,0.0,0.0
120.0,-0.13990597774601557,0.0,1.0,0.0
97.49,-0.1916202357674017,0.0,1.0,0.0
98.73,0.601152933853779,1.0,0.0,0.0
72.0,-0.25018071719632806,0.0,1.0,0.0
609.22,-0.15937748057784049,0.0,0.0,1.0
54.99,0.2561199938536609,1.0,0.0,0.0
132.0,-0.11233729288343744,0.0,1.0,0.0
12.9,-0.07589730026167896,1.0,0.0,0.0
178.8,-0.004819421919382735,0.0,1.0,0.0
53.53,0.2446031193131906,1.0,0.0,0.0
18.59,-0.031013042634777464,1.0,0.0,0.0
9.4,-0.10350624607787495,1.0,0.0,0.0
9.81,-0.10027205528226342,1.0,0.0,0.0
0.77,-0.17158201819038107,1.0,0.0,0.0
14.1,-0.06643137598184033,1.0,0.0,0.0
86.0,0.5007352537851575,1.0,0.0,0.0
157.95,-0.052720011868112274,0.0,1.0,0.0
0.79,-0.1714242527857171,1.0,0.0,0.0
79.65,-0.2326056805964345,0.0,1.0,0.0
32.04,0.07508419200174715,1.0,0.0,0.0
59.95,0.29524581421032725,1.0,0.0,0.0
115.95,-0.1492104088871357,0.0,1.0,0.0
99.0,-0.37373775907147694,0.0,0.0,1.0
10.0,-0.09877328393795563,1.0,0.0,0.0
7.59,-0.11778401519996488,1.0,0.0,0.0
0.89,-0.1706354257623972,1.0,0.0,0.0
0.99,-0.16984659873907734,1.0,0.0,0.0
45.0,0.17731617422400434,1.0,0.0,0.0
1.0,-0.16976771603674534,1.0,0.0,0.0
5.93,-0.13087854378707497,1.0,0.0,0.0
0.89,-0.1706354257623972,1.0,0.0,0.0
105.34,-0.17358572108646517,0.0,1.0,0.0
0.89,-0.1706354257623972,1.0,0.0,0.0
4.95,-0.13860904861560988,1.0,0.0,0.0
50.0,0.21675752538999862,1.0,0.0,0.0
250.0,0.15875477493191412,0.0,1.0,0.0
950.96,-0.0158012162753527,0.0,0.0,1.0
23.55,0.00811277772188887,1.0,0.0,0.0
609.0,-0.1594699098461338,0.0,0.0,1.0
42.45,0.15720108512934727,1.0,0.0,0.0
65.9,0.3421810220978605,1.0,0.0,0.0
1059.95,0.02998908350321623,0.0,0.0,1.0
17.39,-0.04047896691461608,1.0,0.0,0.0
16.95,-0.043949805817223596,1.0,0.0,0.0
7.0,-0.1224380946375522,1.0,0.0,0.0
63.52,0.32340693894284717,1.0,0.0,0.0
42.0,0.15365136352440775,1.0,0.0,0.0
17.4,-0.04040008421228411,1.0,0.0,0.0
33.0,0.08265693142561806,1.0,0.0,0.0
35.85,0.10513850159023481,1.0,0.0,0.0
0.08,-0.1770249246512883,1.0,0.0,0.0
9.0,-0.1066615541711545,1.0,0.0,0.0
98.0,-0.1904485666607421,0.0,1.0,0.0
4.99,-0.1382935178062819,1.0,0.0,0.0
44.95,0.17692176071234442,1.0,0.0,0.0
5.29,-0.13592703673632225,1.0,0.0,0.0
67.2,-0.2612081911413593,0.0,1.0,0.0
7.7,-0.11691630547431302,1.0,0.0,0.0
0.0,-0.1776559862699442,1.0,0.0,0.0
380.8,0.4592534399340157,0.0,1.0,0.0
8.99,-0.10674043687348649,1.0,0.0,0.0
89.24,-0.21057370661042418,0.0,1.0,0.0
43.94,-0.3146454919666566,0.0,1.0,0.0
75.0,0.41396428121997003,1.0,0.0,0.0
6.26,-0.12827541461011938,1.0,0.0,0.0
35.0,0.09843347189201578,1.0,0.0,0.0
1.98,-0.16203721120821046,1.0,0.0,0.0
30.0,0.05899212072602149,1.0,0.0,0.0
1.0,-0.16976771603674534,1.0,0.0,0.0
2.67,-0.15659430474730324,1.0,0.0,0.0
22.5,-0.0001699060229699343,1.0,0.0,0.0
1.0,-0.16976771603674534,1.0,0.0,0.0
2.0,-0.1618794458035465,1.0,0.0,0.0
31.27,-0.34375342840072864,0.0,1.0,0.0
36.28,0.10853045779051032,1.0,0.0,0.0
6.99,-0.12251697733988419,1.0,0.0,0.0
1.29,-0.1674801176691177,1.0,0.0,0.0
5.01,-0.13813575240161796,1.0,0.0,0.0
193.88,0.029825225391257072,0.0,1.0,0.0
1.98,-0.16203721120821046,1.0,0.0,0.0
42.01,-0.31907945544872124,0.0,1.0,0.0
10.0,-0.09877328393795563,1.0,0.0,0.0
12.99,-0.07518735594069105,1.0,0.0,0.0
0.77,-0.17158201819038107,1.0,0.0,0.0
56.15,0.2652703873241716,1.0,0.0,0.0
694.81,-0.12341829388137558,0.0,0.0,1.0
100.0,0.6111710370499414,1.0,0.0,0.0
27.1,0.03611613704974482,1.0,0.0,0.0
61.94,0.3109434719743929,1.0,0.0,0.0
10.99,-0.09096389640708877,1.0,0.0,0.0
1.22,-0.1680322965854416,1.0,0.0,0.0
156.0,-0.05719992315828119,0.0,1.0,0.0
369.53,0.4333618500672443,0.0,1.0,0.0
8.98,-0.10681931957581847,1.0,0.0,0.0
38.75,0.1280144852665115,1.0,0.0,0.0
1.82,-0.16329933444552228,1.0,0.0,0.0
131.0,-0.11463468328865228,0.0,1.0,0.0
0.0,-0.1776559862699442,1.0,0.0,0.0
105.0,-0.17436683382423823,0.0,1.0,0.0
7.12,-0.12149150220956834,1.0,0.0,0.0
349.2,0.3866559031292266,0.0,1.0,0.0
228.0,0.10821218601718754,0.0,1.0,0.0
1.37,-0.16684905605046177,1.0,0.0,0.0
58.77,0.2859376553351526,1.0,0.0,0.0
25.17,0.020891775499671025,1.0,0.0,0.0
336.5,0.3574790449829981,0.0,1.0,0.0
85.25,0.4948190511102583,1.0,0.0,0.0
10.98,-0.09104277910942075,1.0,0.0,0.0
4.0,-0.1461029053371488,1.0,0.0,0.0
22.14,-0.003009683306921518,1.0,0.0,0.0
3.03,-0.15375452746335166,1.0,0.0,0.0
9.98,-0.0989310493426196,1.0,0.0,0.0
39.0,0.1299865528248112,1.0,0.0,0.0
1.0,-0.16976771603674534,1.0,0.0,0.0
14.95,-0.05972634628362131,1.0,0.0,0.0
245.0,0.1472678229058399,0.0,1.0,0.0
21.66,-0.006796053018856972,1.0,0.0,0.0
39.15,0.131169793359791,1.0,0.0,0.0
123.6,-0.13163537228724215,0.0,1.0,0.0
273.76,0.21334077095981877,0.0,1.0,0.0
59.96,-0.2778412976751148,0.0,1.0,0.0
9.99,-0.09885216664028762,1.0,0.0,0.0
25.0,0.019550769560027208,1.0,0.0,0.0
5.0,-0.13821463510394993,1.0,0.0,0.0
4.58,-0.14152770860189345,1.0,0.0,0.0
84.7,0.490480502481999,1.0,0.0,0.0
61.2,0.30510615200182584,1.0,0.0,0.0
1068.55,0.033602227627408256,0.0,0.0,1.0
38.7,0.12762007175485157,1.0,0.0,0.0
454.44,-0.2244056721525437,0.0,0.0,1.0
50.0,0.21675752538999862,1.0,0.0,0.0
0.89,-0.1706354257623972,1.0,0.0,0.0
0.89,-0.1706354257623972,1.0,0.0,0.0
3.13,-0.1529657004400318,1.0,0.0,0.0
291.42,0.25391268551591295,0.0,1.0,0.0
49.99,0.21667864268766665,1.0,0.0,0.0
0.76,-0.17166090089271305,1.0,0.0,0.0
76.06,0.42232584766716086,1.0,0.0,0.0
162.65,-0.04192227696360247,0.0,1.0,0.0
1.0,-0.16976771603674534,1.0,0.0,0.0
45.0,0.17731617422400434,1.0,0.0,0.0
1.98,-0.16203721120821046,1.0,0.0,0.0
80.0,0.4534056323859643,1.0,0.0,0.0
32.98,0.08249916602095406,1.0,0.0,0.0
16.22,-0.04970824308745876,1.0,0.0,0.0
74.99,0.413885398517638,1.0,0.0,0.0
28.0,0.04321558025962378,1.0,0.0,0.0
14.95,-0.05972634628362131,1.0,0.0,0.0
89.08,0.52503112610341,1.0,0.0,0.0
34.99,0.0983545891896838,1.0,0.0,0.0
1.0,-0.16976771603674534,1.0,0.0,0.0
1.0,-0.16976771603674534,1.0,0.0,0.0
49.07,0.2094214340731237,1.0,0.0,0.0
8.7,-0.10902803524111415,1.0,0.0,0.0
20.0,-0.36964501826749996,0.0,1.0,0.0
1503.36,0.21628027374833267,0.0,0.0,1.0
14.08,-0.0665891413865043,1.0,0.0,0.0
9.99,-0.09885216664028762,1.0,0.0,0.0
34.99,0.0983545891896838,1.0,0.0,0.0
84.89,0.49197927382630674,1.0,0.0,0.0
40.6,0.14260778519792938,1.0,0.0,0.0
36.0,0.10632174212521463,1.0,0.0,0.0
81.85,0.46799893231738215,1.0,0.0,0.0
248.0,0.15415999412148443,0.0,1.0,0.0
151.95,-0.06650435429940134,0.0,1.0,0.0
152.65,-0.06489618101575091,0.0,1.0,0.0
5.3,-0.13584815403399025,1.0,0.0,0.0
21.84,-0.005376164376881181,1.0,0.0,0.0
0.76,-0.17166090089271305,1.0,0.0,0.0
73.2,0.3997653948002121,1.0,0.0,0.0
1.95,-0.16227385931520644,1.0,0.0,0.0
0.76,-0.17166090089271305,1.0,0.0,0.0
45.9,0.1844156174338833,1.0,0.0,0.0
32.9,0.08186810440229816,1.0,0.0,0.0
650.0,-0.14224445530056698,0.0,0.0,1.0
3.82,-0.14752279397912457,1.0,0.0,0.0
14.0,-0.06722020300516021,1.0,0.0,0.0
31.0,0.06688039095922034,1.0,0.0,0.0
486.35,-0.21099922691964032,0.0,0.0,1.0
37.07,0.1147621912747374,1.0,0.0,0.0
0.76,-0.17166090089271305,1.0,0.0,0.0
22.66,0.0010922172143418838,1.0,0.0,0.0
55.0,0.2561988765559929,1.0,0.0,0.0
25.0,0.019550769560027208,1.0,0.0,0.0
500.0,-0.2052644109550797,0.0,0.0,1.0
15.17,-0.05799092683231755,1.0,0.0,0.0
1.52,-0.16566581551548196,1.0,0.0,0.0
149.96,-0.07107616120577884,0.0,1.0,0.0
46.49,0.18906969687147065,1.0,0.0,0.0
0.89,-0.1706354257623972,1.0,0.0,0.0
12.99,-0.07518735594069105,1.0,0.0,0.0
2.58,-0.15730424906829116,1.0,0.0,0.0
124.0,-0.1307164161251562,0.0,1.0,0.0
12.99,-0.07518735594069105,1.0,0.0,0.0
214.6,0.07742715458730863,0.0,1.0,0.0
49.31,0.21131461892909142,1.0,0.0,0.0
35.0,0.09843347189201578,1.0,0.0,0.0
45.0,0.17731617422400434,1.0,0.0,0.0
2.0,-0.1618794458035465,1.0,0.0,0.0
174.08,-0.015663104631996792,0.0,1.0,0.0
11.91,-0.08370668779254582,1.0,0.0,0.0
36.8,0.11263235831177369,1.0,0.0,0.0
7.92,-0.11518088602300926,1.0,0.0,0.0
4.49,-0.14223765292288132,1.0,0.0,0.0
3.95,-0.14649731884880873,1.0,0.0,0.0
1.0,-0.16976771603674534,1.0,0.0,0.0
0.0,-0.1776559862699442,1.0,0.0,0.0
6.38,-0.1273288221821355,1.0,0.0,0.0
1.99,-0.1619583285058785,1.0,0.0,0.0
41.33,0.14836622246816453,1.0,0.0,0.0
52.0,0.23253406585639633,1.0,0.0,0.0
3.22,-0.1522557561190439,1.0,0.0,0.0
34.94,0.09796017567802381,1.0,0.0,0.0
0.12,-0.17670939384196033,1.0,0.0,0.0
6.78,-0.12417351408885595,1.0,0.0,0.0
9.0,-0.1066615541711545,1.0,0.0,0.0
206.03,0.05773851881461743,0.0,1.0,0.0
3.5,-0.1500470404537482,1.0,0.0,0.0
49.0,0.20886925515679977,1.0,0.0,0.0
7.63,-0.11746848439063694,1.0,0.0,0.0
88.0,0.5165117942515551,1.0,0.0,0.0
2.28,-0.1596707301382508,1.0,0.0,0.0
0.77,-0.17158201819038107,1.0,0.0,0.0
11.5,-0.08694087858815736,1.0,0.0,0.0
6.25,-0.12835429731245135,1.0,0.0,0.0
9.99,-0.09885216664028762,1.0,0.0,0.0
202.06,0.048617878905914506,0.0,1.0,0.0
83.47,-0.2238296492485138,0.0,1.0,0.0
4.8,-0.1397922891505897,1.0,0.0,0.0
1.0,-0.16976771603674534,1.0,0.0,0.0
69.99,0.3744440473516437,1.0,0.0,0.0
58.75,0.2857798899304886,1.0,0.0,0.0
26.99,0.03524842732409292,1.0,0.0,0.0
10.59,-0.09411920450036831,1.0,0.0,0.0
100.0,-0.18585378585031245,0.0,1.0,0.0
7.99,-0.11462870710668534,1.0,0.0,0.0
3.7,-0.14846938640710844,1.0,0.0,0.0
40.68,0.14323884681658527,1.0,0.0,0.0
43.16,0.16280175699491842,1.0,0.0,0.0
12.0,-0.08299674347155793,1.0,0.0,0.0
15.21,-0.05767539602298959,1.0,0.0,0.0
16.57,-0.04694734850583915,1.0,0.0,0.0
26.88,0.03438071759844105,1.0,0.0,0.0
48.6,0.20571394706352022,1.0,0.0,0.0
0.77,-0.17158201819038107,1.0,0.0,0.0
12.0,-0.08299674347155793,1.0,0.0,0.0
10.59,-0.09411920450036831,1.0,0.0,0.0
38.45,0.12564800419655184,1.0,0.0,0.0
101.89,-0.1815117179844564,0.0,1.0,0.0
15.17,-0.05799092683231755,1.0,0.0,0.0
11.67,-0.08559987264851356,1.0,0.0,0.0
4.57,-0.14160659130422543,1.0,0.0,0.0
110.9,-0.16081223043347062,0.0,1.0,0.0
89.9,-0.20905742894298235,0.0,1.0,0.0
0.0,-0.1776559862699442,1.0,0.0,0.0
3.99,-0.14618178803948076,1.0,0.0,0.0
8.99,-0.10674043687348649,1.0,0.0,0.0
9.37,-0.10374289418487093,1.0,0.0,0.0
41.41,0.14899728408682042,1.0,0.0,0.0
105.0,0.6506123882159357,1.0,0.0,0.0
64.8,0.33350392484134167,1.0,0.0,0.0
744.02,-0.10274354709631844,0.0,0.0,1.0
9.99,-0.09885216664028762,1.0,0.0,0.0
3.38,-0.15099363288173206,1.0,0.0,0.0
10.0,-0.09877328393795563,1.0,0.0,0.0
69.79,0.37286639330500404,1.0,0.0,0.0
40.0,0.13787482305801005,1.0,0.0,0.0
120.34,0.7716184535932061,1.0,0.0,0.0
24.38,0.014660042015443908,1.0,0.0,0.0
166.0,-0.03422601910613276,0.0,1.0,0.0
7.18,-0.12101820599557642,1.0,0.0,0.0
89.47,0.5281075514943574,1.0,0.0,0.0
63.14,0.3204093962542316,1.0,0.0,0.0
119.88,-0.14018166459464135,0.0,1.0,0.0
124.66,-0.12920013845771441,0.0,1.0,0.0
2.0,-0.1618794458035465,1.0,0.0,0.0
1.98,-0.16203721120821046,1.0,0.0,0.0
50.0,0.21675752538999862,1.0,0.0,0.0
5.99,-0.13040524757308303,1.0,0.0,0.0
36.0,0.10632174212521463,1.0,0.0,0.0
60.0,0.29564022772198717,1.0,0.0,0.0
41.26,0.1478140435518406,1.0,0.0,0.0
28.29,0.04550317862725144,1.0,0.0,0.0
9.99,-0.09885216664028762,1.0,0.0,0.0
10.77,-0.09269931585839253,1.0,0.0,0.0
17.13,-0.0425299171752478,1.0,0.0,0.0
55.72,0.2618784311238961,1.0,0.0,0.0
15.0,-0.05933193277196136,1.0,0.0,0.0
14.41,-0.06398601220954868,1.0,0.0,0.0
29.95,0.05859770721436154,1.0,0.0,0.0
2108.19,0.47038933893845886,0.0,0.0,1.0
27.06,0.03580060624041684,1.0,0.0,0.0
64.85,-0.2666070585936142,0.0,1.0,0.0
21.93,-0.004666220055893284,1.0,0.0,0.0
0.5,-0.17371185115334478,1.0,0.0,0.0
34.94,0.09796017567802381,1.0,0.0,0.0
83.6,0.48180340522548015,1.0,0.0,0.0
30.43,-0.3456832363411091,0.0,1.0,0.0
37.65,0.11933738800999273,1.0,0.0,0.0
33.35,0.08541782600723767,1.0,0.0,0.0
158.96,-0.05039964755884524,0.0,1.0,0.0
62.0,0.3114167681883849,1.0,0.0,0.0
29.5,0.05504798560942206,1.0,0.0,0.0
29.99,0.05891323802368949,1.0,0.0,0.0
108.95,-0.1652921417236396,0.0,1.0,0.0
208.46,0.06332117749928952,0.0,1.0,0.0
1.18,-0.16834782739476956,1.0,0.0,0.0
347.0,0.38160164423775395,0.0,1.0,0.0
25.0,0.019550769560027208,1.0,0.0,0.0
1.0,-0.16976771603674534,1.0,0.0,0.0
68.44,0.3622172284901855,1.0,0.0,0.0
0.89,-0.1706354257623972,1.0,0.0,0.0
